Countries,per_capita,capita
Afghanistan,0.5,29.82
Albania,1.18,3.16
Algeria,0.59,38.48
American Samoa,0,0
Andorra,0,0
Angola,2.55,20.82
Antigua and Barbuda,0.94,0.09
Argentina,6.92,41.09
Armenia,0.89,2.97
Aruba,0.57,0.1
Australia,16.57,23.05
Austria,3.07,8.46
Azerbaijan,0.85,9.31
Bahamas,9.55,0.37
Bahrain,0.58,1.32
Bangladesh,0.38,154.7
Barbados,0.19,0.28
Belarus,3.64,9.4
Belgium,1.19,11.06
Belize,0,0
Benin,0.88,10.05
Bermuda,0.13,0.06
Bhutan,5.27,0.74
Bolivia,16.73,10.5
Bosnia and Herzegovina,1.63,3.83
Botswana,3.47,2
Brazil,9.08,198.66
British Virgin Islands,2.05,0.03
Brunei Darussalam,2.87,0.41
Bulgaria,2.86,7.28
Burkina Faso,0.98,16.46
Burundi,0.32,9.85
Cabo Verde,0.62,0.49
Cambodia,1.09,14.86
Cameroon,1.69,21.7
Canada,16.01,34.84
Cayman Islands,0.32,0.06
Central African Republic,7.87,4.53
Chad,2.03,12.45
Channel Islands,0,0
Chile,3.63,17.46
China,0.94,1408.04
Colombia,3.6,47.7
Comoros,0.32,0.72
"Congo, Democratic Republic of",3.07,65.7
Congo,10.91,4.34
Costa Rica,1.53,4.8
Côte d'Ivoire,1.78,19.84
Croatia,2.8,4.31
Cuba,0.76,11.27
Curacao,0,0
Cyprus,0.34,1.13
Czech Republic,2.46,10.66
Denmark,4.78,5.6
Djibouti,0.77,0.86
Dominica,1.03,0.07
Dominican Republic,0.56,10.28
Ecuador,2.2,15.49
Egypt,0.56,80.72
El Salvador,0.61,6.3
Equatorial Guinea,4.4,0.74
Eritrea,1.3,6.13
Estonia,10.53,1.29
Swaziland,0.88,1.23
Ethiopia,0.58,91.73
Faroe Islands,0,0
Fiji,2.37,0.88
Finland,13.44,5.41
France,3.11,63.98
French Polynesia,1.37,0.27
Gabon,26.31,1.63
Gambia,0.82,1.79
Georgia,1.17,4.36
Germany,2.27,82.8
Ghana,1.35,25.37
Gibraltar,0,0
Greece,1.61,11.12
Greenland,0,0
Grenada,1.96,0.1
Guam,0,0
Guatemala,0.99,15.08
Guinea,2.09,11.45
Guinea-Bissau,3.03,1.66
Guyana,66.58,0.8
Haiti,0.27,10.17
Honduras,1.77,7.94
"Hong Kong SAR, China",0,0
Hungary,2.17,9.98
Iceland,0,0
India,0.45,1236.69
Indonesia,1.26,246.86
"Iran, Islamic Republic of",0.9,76.42
Iraq,0.29,32.78
Ireland,3.73,4.58
Isle of Man,0,0
Israel,0.35,7.64
Italy,1.08,60.92
Jamaica,0.43,2.77
Japan,0.72,127.25
Jordan,0.21,7.01
Kazakhstan,3.41,16.27
Kenya,0.51,43.18
Kiribati,0,0
"Korea, Democratic People's Republic of",0.6,24.76
"Korea, Republic of",0.68,49
Kosovo,0,0
Kuwait,0.55,3.25
Kyrgyz Republic,0,0
Lao PDR,0,0
Latvia,9.55,2.06
Lebanon,0.33,4.65
Lesotho,0.78,2.05
Liberia,2.57,4.19
Libya,0,0
Liechtenstein,0,0
Lithuania,5.67,3.03
Luxembourg,1.68,0.52
"Macao SAR, China",0,0
"Macedonia, FYR",0,0
Madagascar,2.63,22.29
Malawi,0.66,15.91
Malaysia,2.41,29.24
Maldives,0,0
Mali,1.58,14.85
Malta,0,0
Marshall Islands,0,0
Mauritania,4.48,3.8
Mauritius,0.71,1.24
Mexico,1.27,120.85
"Micronesia, Fed. Sts.",0,0
Moldova,0.8,3.51
Monaco,0,0
Mongolia,15.66,2.8
Montenegro,3.24,0.62
Morocco,0.71,32.52
Mozambique,2.06,25.2
Myanmar,1.84,52.8
Namibia,6.88,2.26
Nauru,0.19,0.01
Nepal,0.59,27.47
Netherlands,1.17,16.71
New Caledonia,7.67,0.25
New Zealand,10.14,4.46
Nicaragua,2.25,5.99
Niger,1.24,17.16
Nigeria,0.7,168.83
Northern Mariana Islands,0,0
Norway,8.18,4.99
Oman,1.92,3.31
Pakistan,0.35,179.16
Palau,0,0
Panama,2.94,3.8
Papua New Guinea,3.92,7.17
Paraguay,10.52,6.69
Peru,3.97,29.99
Philippines,0.54,96.71
Poland,2.08,38.21
Portugal,1.51,10.6
Puerto Rico,0,0
Qatar,1.24,2.05
Romania,2.32,21.76
Russian Federation,6.79,143.17
Rwanda,0.54,11.46
Samoa,1.93,0.19
San Marino,0,0
Sao Tome and Principe,0.87,0.19
Saudi Arabia,0.5,28.29
Senegal,1.05,13.73
Serbia,1.25,9.55
Seychelles,0,0
Sierra Leone,1.24,5.98
Singapore,0.05,5.3
Sint Maarten (Dutch part),0,0
Slovakia,2.71,5.45
Slovenia,2.35,2.07
Solomon Islands,4.36,0.55
Somalia,1.27,10.2
South Africa,1.15,52.39
South Sudan,0,0
Spain,1.25,46.76
Sri Lanka,0.44,21.1
Saint Kitts and Nevis,0.62,0.05
Saint Lucia,0.34,0.18
St. Martin (French part),0,0
Saint Vincent and Grenadines,1.26,0.11
Sudan,0,0
Suriname,89.33,0.54
Sweden,10.62,9.51
Switzerland,1.3,8
Syrian Arab Republic,0.6,21.89
Tajikistan,0.53,8.01
"Tanzania, United Republic of",1.08,47.78
Thailand,1.24,66.78
Timor-Leste,1.78,1.11
Togo,0.53,6.64
Tonga,1.48,0.1
Trinidad and Tobago,1.56,1.34
Tunisia,0.93,10.88
Turkey,1.52,74
Turkmenistan,2.79,5.17
Turks and Caicos Islands,0,0
Tuvalu,0,0
Uganda,0.59,36.35
Ukraine,2.27,45.53
United Arab Emirates,0,0
United Kingdom,1.32,63.03
United States of America,3.76,317.5
Uruguay,10.32,3.4
Uzbekistan,0.92,28.54
Vanuatu,0,0
"Venezuela, Bolivarian Republic of",2.78,29.96
Viet Nam,1,90.8
Virgin Islands (U.S.),0,0
West Bank and Gaza,0,0
Yemen,0.5,23.85
Zambia,2.23,14.08
Zimbabwe,0.62,13.72
