Countries,Coal,Oil,Gas,fossil fuels(MJ)
Afghanistan,#N/A,#N/A,#N/A,0
Albania,#N/A,#N/A,#N/A,0
Algeria,#N/A,9038233249370,5786900000000000,5795940000000000
American Samoa,#N/A,#N/A,#N/A,0
Andorra,#N/A,#N/A,#N/A,0
Angola,#N/A,6655447751687,#N/A,6655447751687
Antigua and Barbuda,#N/A,#N/A,#N/A,0
Argentina,#N/A,1636294667600,461452159953752,463088454621351
Armenia,#N/A,#N/A,#N/A,0
Aruba,#N/A,#N/A,#N/A,0
Australia,4275620000000000,2605673863085,3189860000000000,7468080000000000
Austria,#N/A,#N/A,#N/A,0
Azerbaijan,#N/A,5640523287671,2844000000000000,2849640000000000
"Bahamas, The",#N/A,#N/A,#N/A,0
Bahrain,#N/A,#N/A,243577531353351,243577531353351
Bangladesh,#N/A,#N/A,216736738729220,216736738729220
Barbados,#N/A,#N/A,#N/A,0
Belarus,#N/A,#N/A,#N/A,0
Belgium,#N/A,#N/A,#N/A,0
Belize,#N/A,#N/A,#N/A,0
Benin,#N/A,#N/A,#N/A,0
Bermuda,#N/A,#N/A,#N/A,0
Bhutan,#N/A,#N/A,#N/A,0
Bolivia,#N/A,#N/A,390303902168582,390303902168582
Bosnia and Herzegovina,#N/A,#N/A,#N/A,0
Botswana,#N/A,#N/A,#N/A,0
Brazil,191284000000000,11486914092125,507722746014735,710493660106860
British Virgin Islands,#N/A,#N/A,#N/A,0
Brunei Darussalam,#N/A,#N/A,#N/A,0
Bulgaria,68614000000000,#N/A,#N/A,68614000000000
Burkina Faso,#N/A,#N/A,#N/A,0
Burundi,#N/A,#N/A,#N/A,0
Cabo Verde,#N/A,#N/A,#N/A,0
Cambodia,#N/A,#N/A,#N/A,0
Cameroon,#N/A,#N/A,#N/A,0
Canada,190878000000000,159178451523490,2471060000000000,2821110000000000
Cayman Islands,#N/A,#N/A,#N/A,0
Central African Republic,#N/A,#N/A,#N/A,0
Chad,#N/A,1269552517986,#N/A,1269552517986
Channel Islands,#N/A,#N/A,#N/A,0
Chile,#N/A,#N/A,#N/A,0
China,4.02575E+015,20823200400000,8103210000000001,1.21498E+016
Colombia,141549000000000,1512757695538,141746220787562,284807978483100
Comoros,#N/A,#N/A,#N/A,0
"Congo, Dem. Rep.",#N/A,#N/A,#N/A,0
"Congo, Rep.",#N/A,#N/A,#N/A,0
Costa Rica,#N/A,#N/A,#N/A,0
Cote d'Ivoire,#N/A,#N/A,#N/A,0
Croatia,#N/A,#N/A,#N/A,0
Cuba,#N/A,#N/A,#N/A,0
Curacao,#N/A,#N/A,#N/A,0
Cyprus,#N/A,#N/A,#N/A,0
Czech Republic,77053000000000,#N/A,#N/A,77053000000000
Denmark,#N/A,335899138309,37573935868983,37909835007292
Djibouti,#N/A,#N/A,#N/A,0
Dominica,#N/A,#N/A,#N/A,0
Dominican Republic,#N/A,#N/A,#N/A,0
Ecuador,#N/A,2407950217568,#N/A,2407950217568
"Egypt, Arab Rep.",#N/A,#N/A,#N/A,0
El Salvador,#N/A,#N/A,#N/A,0
Equatorial Guinea,#N/A,877949253731,#N/A,877949253731
Eritrea,#N/A,#N/A,#N/A,0
Estonia,#N/A,#N/A,#N/A,0
Eswatini,#N/A,#N/A,#N/A,0
Ethiopia,#N/A,#N/A,#N/A,0
Faroe Islands,#N/A,#N/A,#N/A,0
Fiji,#N/A,#N/A,#N/A,0
Finland,#N/A,#N/A,#N/A,0
France,#N/A,#N/A,#N/A,0
French Polynesia,#N/A,#N/A,#N/A,0
Gabon,#N/A,1609373461012,#N/A,1609373461012
"Gambia, The",#N/A,#N/A,#N/A,0
Georgia,#N/A,#N/A,#N/A,0
Germany,1.04699E+015,#N/A,35562394938530,1.08255E+015
Ghana,#N/A,#N/A,#N/A,0
Gibraltar,#N/A,#N/A,#N/A,0
Greece,83404000000000,#N/A,#N/A,83404000000000
Greenland,#N/A,#N/A,#N/A,0
Grenada,#N/A,#N/A,#N/A,0
Guam,#N/A,#N/A,#N/A,0
Guatemala,#N/A,#N/A,#N/A,0
Guinea,#N/A,#N/A,#N/A,0
Guinea-Bissau,#N/A,#N/A,#N/A,0
Guyana,#N/A,#N/A,#N/A,0
Haiti,#N/A,#N/A,#N/A,0
Honduras,#N/A,#N/A,#N/A,0
"Hong Kong SAR, China",#N/A,#N/A,#N/A,0
Hungary,84361000000000,#N/A,#N/A,84361000000000
Iceland,#N/A,#N/A,#N/A,0
India,2939530000000000,3496997687740,1721130000000000,4664150000000000
Indonesia,1073000000000000,2566308813001,3685530000000000,4761100000000000
"Iran, Islamic Rep.",#N/A,#N/A,#N/A,0
Iraq,#N/A,116869630766532,4748100000000000,4864970000000000
Ireland,#N/A,#N/A,#N/A,0
Isle of Man,#N/A,#N/A,#N/A,0
Israel,#N/A,#N/A,550461049212284,550461049212284
Italy,#N/A,446063540320,61640407220367,62086470760687
Jamaica,#N/A,#N/A,#N/A,0
Japan,10150000000000,#N/A,#N/A,10150000000000
Jordan,#N/A,#N/A,#N/A,0
Kazakhstan,742545000000000,23128152031455,1323220000000000,2.0889E+015
Kenya,#N/A,#N/A,#N/A,0
Kiribati,#N/A,#N/A,#N/A,0
"Korea, Dem. People’s Rep.",#N/A,#N/A,#N/A,0
"Korea, Rep.",#N/A,#N/A,#N/A,0
Kosovo,#N/A,#N/A,#N/A,0
Kuwait,#N/A,82238207988981,2262380000000000,2344620000000000
Kyrgyz Republic,#N/A,#N/A,#N/A,0
Lao PDR,#N/A,#N/A,#N/A,0
Latvia,#N/A,#N/A,#N/A,0
Lebanon,#N/A,#N/A,#N/A,0
Lesotho,#N/A,#N/A,#N/A,0
Liberia,#N/A,#N/A,#N/A,0
Libya,#N/A,37042153695313,1.90844E+015,1945480000000000
Liechtenstein,#N/A,#N/A,#N/A,0
Lithuania,#N/A,#N/A,#N/A,0
Luxembourg,#N/A,#N/A,#N/A,0
"Macao SAR, China",#N/A,#N/A,#N/A,0
"Macedonia, FYR",#N/A,#N/A,#N/A,0
Madagascar,#N/A,#N/A,#N/A,0
Malawi,#N/A,#N/A,#N/A,0
Malaysia,#N/A,2323646685864,3193040000000000,3195360000000000
Maldives,#N/A,#N/A,#N/A,0
Mali,#N/A,#N/A,#N/A,0
Malta,#N/A,#N/A,#N/A,0
Marshall Islands,#N/A,#N/A,#N/A,0
Mauritania,#N/A,#N/A,#N/A,0
Mauritius,#N/A,#N/A,#N/A,0
Mexico,35119000000000,6273970078311,246734473970891,288127444049202
"Micronesia, Fed. Sts.",#N/A,#N/A,#N/A,0
Moldova,#N/A,#N/A,#N/A,0
Monaco,#N/A,#N/A,#N/A,0
Mongolia,73080000000000,#N/A,#N/A,73080000000000
Montenegro,#N/A,#N/A,#N/A,0
Morocco,#N/A,#N/A,#N/A,0
