Continent ,Region ,Country names
ASIA,Southern Asia,Afghanistan
EUROPE,NON EU28,Albania
AFRICA,Northen africa,Algeria
OCEANIA,Polynesia,American Samoa
EUROPE,NON EU28,Andorra
AFRICA,Middle Africa,Angola
AMERICA,Caribbean,Antigua and Barbuda
AMERICA,South america,Argentina
ASIA,Western Asia,Armenia
AMERICA,Caribbean,Aruba
OCEANIA,Australia and New Zealand,Australia
EUROPE,EU28,Austria
ASIA,Western Asia,Azerbaijan
AMERICA,Caribbean,"Bahamas, The"
ASIA,Western Asia,Bahrain
ASIA,Southern Asia,Bangladesh
AMERICA,Caribbean,Barbados
EUROPE,NON EU28,Belarus
EUROPE,EU28,Belgium
AMERICA,Central America,Belize
AFRICA,Western Africa,Benin
AMERICA,Northen America,Bermuda
ASIA,Southern Asia,Bhutan
AMERICA,South america,Bolivia
EUROPE,NON EU28,Bosnia and Herzegovina
AFRICA,Southern Africa,Botswana
AMERICA,South america,Brazil
AMERICA,Caribbean,British Virgin Islands
ASIA,South eastern Asia,Brunei Darussalam
EUROPE,EU28,Bulgaria
AFRICA,Western Africa,Burkina Faso
AFRICA,Eastern Africa,Burundi
AFRICA,Western Africa,Cabo Verde
ASIA,South eastern Asia,Cambodia
AFRICA,Middle Africa,Cameroon
AMERICA,Northen America,Canada
AMERICA,Caribbean,Cayman Islands
AFRICA,Middle Africa,Central African Republic
AFRICA,Middle Africa,Chad
EUROPE,NON EU28,Channel Islands
AMERICA,South america,Chile
ASIA,Eastern Asia,China
AMERICA,South america,Colombia
AFRICA,Eastern Africa,Comoros
AFRICA,Middle Africa,"Congo, Dem. Rep."
AFRICA,Middle Africa,"Congo, Rep."
AMERICA,Central America,Costa Rica
AFRICA,Western Africa,Cote d'Ivoire
EUROPE,EU28,Croatia
AMERICA,Caribbean,Cuba
AMERICA,Caribbean,Curacao
ASIA,Western Asia,Cyprus
EUROPE,EU28,Czech Republic
EUROPE,EU28,Denmark
AFRICA,Eastern Africa,Djibouti
AMERICA,Caribbean,Dominica
AMERICA,Caribbean,Dominican Republic
AMERICA,South america,Ecuador
AFRICA,Northen africa,"Egypt, Arab Rep."
AMERICA,Central America,El Salvador
AFRICA,Middle Africa,Equatorial Guinea
AFRICA,Eastern Africa,Eritrea
EUROPE,EU28,Estonia
AFRICA,Southern Africa,Eswatini
AFRICA,Eastern Africa,Ethiopia
EUROPE,NON EU28,Faroe Islands
OCEANIA,Melanesia,Fiji
EUROPE,EU28,Finland
EUROPE,EU28,France
OCEANIA,Polynesia,French Polynesia
AFRICA,Middle Africa,Gabon
AFRICA,Western Africa,"Gambia, The"
ASIA,Western Asia,Georgia
EUROPE,EU28,Germany
AFRICA,Western Africa,Ghana
EUROPE,NON EU28,Gibraltar
EUROPE,EU28,Greece
AMERICA,Northen America,Greenland
AMERICA,Caribbean,Grenada
OCEANIA,Micronesia,Guam
AMERICA,Central America,Guatemala
AFRICA,Western Africa,Guinea
AFRICA,Western Africa,Guinea-Bissau
AMERICA,South america,Guyana
AMERICA,Caribbean,Haiti
AMERICA,Central America,Honduras
ASIA,Eastern Asia,"Hong Kong SAR, China"
EUROPE,EU28,Hungary
EUROPE,NON EU28,Iceland
ASIA,Southern Asia,India
ASIA,South eastern Asia,Indonesia
ASIA,Southern Asia,"Iran, Islamic Rep."
ASIA,Western Asia,Iraq
EUROPE,EU28,Ireland
EUROPE,NON EU28,Isle of Man
ASIA,Western Asia,Israel
EUROPE,EU28,Italy
AMERICA,Caribbean,Jamaica
