Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2050 [YR2050]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,38928000,64683000
Albania,ALB,"Population, total",SP.POP.TOTL,2867000,2493000
Algeria,DZA,"Population, total",SP.POP.TOTL,43851000,60923000
American Samoa,ASM,"Population, total",SP.POP.TOTL,55000,54000
Andorra,AND,"Population, total",SP.POP.TOTL,77000,76000
Angola,AGO,"Population, total",SP.POP.TOTL,32866000,77420000
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,98000,111000
Arab World,ARB,"Population, total",SP.POP.TOTL,436091000,671113000
Argentina,ARG,"Population, total",SP.POP.TOTL,45303000,54894000
Armenia,ARM,"Population, total",SP.POP.TOTL,2963000,2816000
Aruba,ABW,"Population, total",SP.POP.TOTL,107000,109000
Australia,AUS,"Population, total",SP.POP.TOTL,25608000,33194000
Austria,AUT,"Population, total",SP.POP.TOTL,8883000,8883000
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10115000,11029000
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,393000,463000
Bahrain,BHR,"Population, total",SP.POP.TOTL,1702000,2316000
Bangladesh,BGD,"Population, total",SP.POP.TOTL,164689000,192568000
Barbados,BRB,"Population, total",SP.POP.TOTL,287000,277000
Belarus,BLR,"Population, total",SP.POP.TOTL,9448000,8562000
Belgium,BEL,"Population, total",SP.POP.TOTL,11538000,12321000
Belize,BLZ,"Population, total",SP.POP.TOTL,398000,571000
Benin,BEN,"Population, total",SP.POP.TOTL,12123000,24280000
Bermuda,BMU,"Population, total",SP.POP.TOTL,0,0
Bhutan,BTN,"Population, total",SP.POP.TOTL,772000,905000
Bolivia,BOL,"Population, total",SP.POP.TOTL,11673000,15840000
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3281000,2685000
Botswana,BWA,"Population, total",SP.POP.TOTL,2352000,3510000
Brazil,BRA,"Population, total",SP.POP.TOTL,212559000,228980000
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30000,32000
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,437000,492000
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6916000,5213000
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20903000,43432000
Burundi,BDI,"Population, total",SP.POP.TOTL,11891000,25325000
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,556000,679000
Cambodia,KHM,"Population, total",SP.POP.TOTL,16719000,21861000
Cameroon,CMR,"Population, total",SP.POP.TOTL,26546000,50573000
Canada,CAN,"Population, total",SP.POP.TOTL,37684000,43737000
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7443000,7765000
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,66000,85000
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4830000,8401000
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,101847000,87263000
Chad,TCD,"Population, total",SP.POP.TOTL,16426000,34031000
Channel Islands,CHI,"Population, total",SP.POP.TOTL,174000,199000
Chile,CHL,"Population, total",SP.POP.TOTL,19116000,20319000
China,CHN,"Population, total",SP.POP.TOTL,1401379000,1335573000
Colombia,COL,"Population, total",SP.POP.TOTL,50883000,55958000
Comoros,COM,"Population, total",SP.POP.TOTL,870000,1472000
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,89561000,194489000
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5518000,10702000
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5094000,5773000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,26378000,51264000
Croatia,HRV,"Population, total",SP.POP.TOTL,4052000,3430000
Cuba,CUB,"Population, total",SP.POP.TOTL,11327000,10162000
Curacao,CUW,"Population, total",SP.POP.TOTL,162000,181000
Cyprus,CYP,"Population, total",SP.POP.TOTL,1207000,1355000
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10631000,10023000
Denmark,DNK,"Population, total",SP.POP.TOTL,5840000,6314000
Djibouti,DJI,"Population, total",SP.POP.TOTL,988000,1295000
Dominica,DMA,"Population, total",SP.POP.TOTL,72000,71000
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10848000,12796000
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3332556000,4273451000
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2351307000,2406917000
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2104283000,2171682000
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2078467000,2145084000
Ecuador,ECU,"Population, total",SP.POP.TOTL,17643000,23316000
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,102334000,159957000
El Salvador,SLV,"Population, total",SP.POP.TOTL,6486000,6937000
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1403000,2821000
Eritrea,ERI,"Population, total",SP.POP.TOTL,0,0
Estonia,EST,"Population, total",SP.POP.TOTL,1313000,1157000
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1160000,1704000
Ethiopia,ETH,"Population, total",SP.POP.TOTL,114964000,205411000
Euro area,EMU,"Population, total",SP.POP.TOTL,341989000,332704000
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,922779000,923662000
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,420757000,427239000
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,462615000,462903000
European Union,EUU,"Population, total",SP.POP.TOTL,513719000,500882000
